Species,Treatment,Plot,LTE,Col,Day,Month,Year,Collection,Sequence,Location,Date,deacc.days,LTEOutliers,YearOutliers
LALA,4.5,13,-22.30,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,4.5,13,-23.82,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,4.5,13,-24.02,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,4.5,13,-25.07,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,4.5,13,-24.74,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,4.5,13,-25.94,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,6.75,16,-14.55,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,6.75,16,-17.03,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,6.75,16,-16.93,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,6.75,16,-19.67,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,6.75,16,-20.28,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,6.75,16,-22.08,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,6.75,16,-23.22,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,6.75,16,-14.13,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,6.75,16,-14.23,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,6.75,16,-14.31,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,6.75,16,-15.39,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,6.75,16,-15.76,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,6.75,16,-16.38,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,6.75,16,-17.07,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,6.75,16,-17.61,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,6.75,16,-18.97,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,6.75,16,-26.30,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,6.75,16,-26.48,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,6.75,8,-18.60,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,6.75,8,-18.83,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,6.75,8,-20.23,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,6.75,8,-20.58,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,6.75,8,-21.13,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,6.75,8,-22.00,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,6.75,8,-23.79,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,6.75,8,-23.89,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,6.75,8,-25.44,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,6.75,8,-26.49,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,9,10,-19.45,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,9,10,-19.47,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,9,10,-19.89,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,9,10,-19.99,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,9,10,-20.65,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,9,10,-20.72,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
